method,fold,acc
mmit,1,93.71584699
mmit,2,94.71488178
mmit,3,91.20567376
mmit,4,95.56171983
mmit,5,93.50473613
mmit,6,94.07806191
linear,1,94.78021978
linear,2,94.28172943
linear,3,93.75886525
linear,4,94.17475728
linear,5,92.55751015
linear,6,92.04851752
AFT_XGboost,1,93.30601093
AFT_XGboost,2,94.57579972
AFT_XGboost,3,94.89361702
AFT_XGboost,4,94.17475728
AFT_XGboost,5,91.74560217
AFT_XGboost,6,94.75100942
gru,1,95.76502732
gru,2,94.57579972
gru,3,95.74468085
gru,4,95.56171983
gru,5,94.72259811
gru,6,95.55854643
mlp,1,95.90163934
mlp,2,94.57579972
mlp,3,94.75177305
mlp,4,94.7295423
mlp,5,94.72259811
mlp,6,95.02018843
