dataset,test_fold,n_conv_layers,n_filters,kernel_size,n_dense_layers,n_neurons,n_cv,total_training_time_sec,total_best_val_loss_cv,mean_best_val_loss_cv
cancer,1,8,8,2,2,50,10,9176.225627183914,18.16878386132564,1.816878386132564
detailed,1,2,2,2,1,50,10,13762.36645078659,3.502279251684873,0.3502279251684873
systematic,5,8,8,4,2,10,10,52914.6623878479,2.095691403050245,0.2095691403050245
systematic,1,2,2,4,1,20,10,11005.798978567123,2.2536973887184177,0.2253697388718417
systematic,1,4,8,4,2,20,10,22327.76795578003,2.4868127298938063,0.2486812729893806
systematic,3,2,4,8,2,20,10,15459.334233283997,2.7428602357871177,0.2742860235787118
cancer,1,2,2,8,1,50,10,2227.320724248886,17.416921171439395,1.7416921171439397
detailed,2,2,2,4,2,10,10,17669.213834047318,2.887448835633605,0.2887448835633605
systematic,3,8,4,4,2,10,10,34116.236248493195,1.4506280936771525,0.1450628093677152
detailed,3,8,4,4,1,50,10,36523.51161265373,3.455675694298177,0.3455675694298177
systematic,5,2,2,4,1,10,10,16754.44015789032,2.2400113962501336,0.2240011396250133
cancer,1,2,2,8,1,10,10,2782.5553209781647,16.904088863802322,1.6904088863802322
cancer,2,2,8,2,2,20,10,4690.840378046036,12.58914621015174,1.2589146210151738
detailed,6,4,2,2,2,50,10,46291.07729077339,3.225861004542014,0.3225861004542014
detailed,2,4,8,2,2,50,10,20256.114839077,3.674326599319824,0.3674326599319824
detailed,3,8,2,4,2,10,10,32064.31130766869,2.8233055390887287,0.2823305539088728
systematic,3,8,2,4,2,50,10,35731.84506678581,1.5172470388780388,0.1517247038878038
systematic,1,8,8,2,2,10,10,39056.360860824585,1.7850360558050484,0.1785036055805048
systematic,5,2,4,8,2,20,10,14520.164941072464,2.9144837135723365,0.2914483713572336
systematic,5,2,2,8,2,20,10,17795.834313869476,2.191607440400046,0.2191607440400046
detailed,3,8,4,2,1,10,10,40071.07078099251,3.580626940659321,0.3580626940659321
systematic,1,4,2,4,2,20,10,21040.17670273781,1.7109087171610389,0.1710908717161038
systematic,1,8,4,4,2,50,10,35566.77135872841,1.8245832274766576,0.1824583227476657
detailed,3,2,4,2,2,10,10,21608.08096146584,2.936314408727305,0.2936314408727305
systematic,6,8,2,8,1,20,10,31681.99669599533,1.3162901363859416,0.1316290136385941
systematic,5,2,4,2,2,50,10,15597.070102930067,2.1949827106531865,0.2194982710653186
systematic,5,2,4,2,2,10,10,15352.156052827837,1.971390780143864,0.1971390780143863
detailed,6,2,8,4,2,50,10,20184.25585103035,4.5691616744772245,0.4569161674477224
systematic,6,8,4,8,2,50,10,41254.38699913025,1.7858696213167289,0.1785869621316728
systematic,6,2,4,2,2,10,10,15971.228231668472,2.0411444608587006,0.20411444608587
systematic,4,4,2,8,1,50,10,18531.39969658852,2.543535928014449,0.2543535928014449
detailed,1,4,8,4,1,20,10,27272.91811156273,3.6984328096185104,0.369843280961851
systematic,4,4,4,8,1,20,10,19472.02726078033,2.4028900485291924,0.2402890048529192
systematic,5,2,2,4,2,10,10,15667.188151836395,2.210616173331236,0.2210616173331236
detailed,6,2,2,4,1,20,10,20624.773144960403,3.1410892905344565,0.3141089290534457
systematic,4,8,4,2,2,20,10,45181.21499919891,1.5394125632170712,0.1539412563217071
cancer,1,8,8,4,1,50,10,9932.21438074112,17.16225539339677,1.716225539339677
systematic,1,8,8,4,2,20,10,47960.181654691696,1.51792493986574,0.151792493986574
systematic,3,8,8,4,2,10,10,43379.85244655609,1.936891745265025,0.1936891745265025
detailed,3,2,2,8,1,50,10,17353.20251941681,3.7335551061732497,0.3733555106173249
detailed,5,2,2,4,2,50,10,18207.415923833847,3.266361879337204,0.3266361879337203
detailed,5,2,8,4,1,10,10,18836.10837674141,3.39768014367138,0.339768014367138
systematic,1,8,8,4,1,50,10,40025.61999750137,1.9734400374436711,0.1973440037443671
detailed,3,4,2,2,2,10,10,24417.83968448639,3.1082814878335574,0.3108281487833557
systematic,5,4,4,2,2,10,10,23986.951322078705,1.955234244354932,0.1955234244354932
cancer,2,2,8,4,1,50,10,3665.6395704746246,13.94098904799611,1.394098904799611
systematic,4,4,2,4,1,20,10,22065.330184936523,2.5025580351467376,0.2502558035146737
detailed,4,8,2,2,2,20,10,30100.401048898697,2.9312228246110688,0.2931222824611069
cancer,2,2,8,8,2,20,10,3893.490460634232,12.793086303840177,1.2793086303840175
cancer,2,4,8,8,1,20,10,4883.217000722885,14.615617622512202,1.4615617622512205
detailed,3,2,4,8,2,10,10,15451.377332687378,3.700959486280932,0.3700959486280931
cancer,1,4,2,8,2,20,10,3894.410265684128,17.45972012829821,1.7459720128298208
systematic,3,2,8,4,1,50,10,14524.148892641068,3.1347135031489635,0.3134713503148963
systematic,5,4,8,8,2,10,10,26032.7076318264,2.2372965910316527,0.2237296591031652
systematic,1,8,2,4,1,50,10,17126.815022706985,1.2402360698809334,0.1240236069880933
systematic,5,8,8,8,1,50,10,40003.64785671234,1.8158035014180605,0.181580350141806
systematic,2,8,8,4,1,50,10,50052.27672743797,2.0393873258791144,0.2039387325879114
detailed,4,4,8,2,2,50,10,30272.94532394409,3.839697470067029,0.3839697470067029
detailed,4,2,8,4,1,10,10,16497.797574281693,3.800759828914319,0.3800759828914318
systematic,3,8,8,4,2,50,10,54297.88701486588,2.147744062151358,0.2147744062151358
cancer,2,2,4,2,2,20,10,3439.830150127411,12.833897393912064,1.2833897393912064
cancer,2,2,2,8,2,20,10,3414.880994081497,13.658447650269023,1.3658447650269026
detailed,4,4,8,2,1,10,10,25609.44894886017,3.5136726226033086,0.3513672622603309
systematic,5,4,4,4,2,10,10,20192.9658305645,2.181180529726357,0.2181180529726357
detailed,1,2,8,8,1,20,10,16690.62444615364,3.9637749862123006,0.39637749862123
detailed,5,2,4,4,2,10,10,15823.751770496368,3.459485598236288,0.3459485598236288
detailed,6,4,8,2,2,10,10,33837.65439128876,3.5455637914917117,0.3545563791491711
cancer,1,4,2,2,2,50,10,3398.9116790294647,17.172873334990065,1.7172873334990064
systematic,4,8,8,4,1,10,10,46939.42322707176,2.1585519841721714,0.2158551984172171
systematic,1,4,2,2,2,20,10,22106.45977091789,2.032846537052658,0.2032846537052658
systematic,1,8,4,8,2,10,10,38184.310707330704,1.336513814650678,0.1336513814650677
systematic,3,8,2,8,2,50,10,33173.52845597267,1.3154722464322517,0.1315472246432251
systematic,1,8,2,8,1,10,10,25167.362045764923,1.235765400280838,0.1235765400280838
systematic,1,4,4,2,2,20,10,21652.83061337471,2.060321945925471,0.2060321945925471
detailed,5,8,2,2,2,20,10,48564.45690870285,2.7039728532732856,0.2703972853273285
systematic,2,4,2,4,1,10,10,22632.361733436584,2.015355935977209,0.2015355935977209
systematic,3,4,2,4,1,10,10,19993.352657318115,1.8148638144227496,0.1814863814422749
systematic,1,8,2,4,1,10,10,17763.056824684143,1.8939560264406563,0.1893956026440656
systematic,6,4,2,4,2,20,10,23555.53458094597,2.026138994686522,0.2026138994686522
systematic,1,2,8,8,1,50,10,13551.481094837189,2.918207643234179,0.2918207643234179
systematic,6,2,8,4,2,50,10,16675.804723739624,3.2095407020521765,0.3209540702052176
detailed,6,2,2,8,2,50,10,21979.04941511154,3.770994293291388,0.3770994293291387
detailed,2,4,8,2,1,10,10,18055.521926879883,3.3030495189102385,0.3303049518910238
cancer,1,2,8,8,1,50,10,3310.2279658317566,16.427656869128857,1.6427656869128855
detailed,5,2,8,8,2,10,10,15158.656895399094,3.8280425475274233,0.3828042547527422
systematic,6,4,8,8,2,50,10,23831.08156299591,2.785547313450735,0.2785547313450734
detailed,5,2,4,2,2,10,10,19138.317961215973,3.0954659223471204,0.309546592234712
detailed,2,2,4,8,1,20,10,14108.201902389526,3.663053035332702,0.3663053035332702
systematic,2,4,2,4,2,50,10,32769.612329244614,2.0305965675595754,0.2030596567559575
detailed,5,2,2,4,2,10,10,14221.5342400074,3.46322758078854,0.346322758078854
systematic,2,8,8,8,1,10,10,34481.2146692276,1.265115959554638,0.1265115959554638
detailed,1,8,8,2,1,50,10,47577.95598435402,3.6576146354778825,0.3657614635477882
detailed,1,4,4,2,2,10,10,26670.27345609665,3.297464258243593,0.3297464258243593
systematic,3,2,4,4,1,10,10,14239.986037254332,2.4738709327641275,0.2473870932764127
detailed,5,2,2,4,2,20,10,18370.925591230392,3.861159558006628,0.3861159558006628
detailed,2,4,4,2,2,50,10,27360.73352742195,3.3228208994418917,0.3322820899441891
systematic,1,8,4,4,1,10,10,29178.685139656067,1.2550254173660296,0.1255025417366029
cancer,2,2,2,2,2,50,10,2328.996481895447,13.836729696551483,1.3836729696551484
systematic,3,4,2,4,2,10,10,17191.72619485855,2.113368812658515,0.2113368812658515
detailed,6,4,4,2,1,20,10,25531.94564318657,2.8910448791721945,0.2891044879172194
detailed,4,2,4,2,2,50,10,12119.959097146988,3.924472147808272,0.3924472147808272
detailed,3,2,8,4,2,20,10,20461.42414689064,4.054190316832037,0.4054190316832037
systematic,5,8,8,8,1,10,10,37687.36378979683,1.4994185608878494,0.1499418560887849
cancer,2,2,4,8,2,50,10,3703.9393360614777,12.974294527338484,1.2974294527338484
systematic,4,8,2,8,1,50,10,27030.628860473636,1.0259939779019398,0.1025993977901939
detailed,4,4,4,4,2,20,10,14790.854617834091,3.524441752654634,0.3524441752654634
systematic,5,2,2,2,2,20,10,21116.59297823906,1.7673462308511123,0.1767346230851112
detailed,3,2,8,4,2,50,10,16462.279317378998,4.891544474758655,0.4891544474758655
systematic,1,2,4,8,2,10,10,15260.280617713928,2.3676525443104706,0.236765254431047
cancer,1,8,8,2,1,50,10,9768.644866228104,17.90100932301452,1.790100932301452
systematic,6,4,4,8,1,50,10,23437.06813311577,2.5484879209004867,0.2548487920900487
systematic,6,4,8,4,1,20,10,22322.02759575844,2.1768599469116503,0.217685994691165
systematic,2,4,4,2,2,10,10,19234.567921876907,1.9608164691017087,0.1960816469101709
systematic,6,4,8,4,1,50,10,24416.869835853577,2.4498492794976663,0.2449849279497666
systematic,3,4,2,2,1,50,10,21646.52513885498,2.737563143937672,0.2737563143937672
systematic,5,2,2,2,1,50,10,14203.648750543594,1.9097874993698007,0.19097874993698
detailed,1,2,2,2,1,10,10,25924.86879825592,2.94766255116229,0.294766255116229
systematic,1,4,4,8,1,50,10,17277.23723578453,2.7212606992597657,0.2721260699259765
cancer,2,2,2,8,1,50,10,2459.364606618881,12.948299303735045,1.2948299303735045
detailed,5,4,2,4,1,10,10,23589.913813829426,3.3426493191218336,0.3342649319121833
cancer,2,4,2,2,1,50,10,3418.145649909973,13.46980669648094,1.3469806696480942
systematic,3,4,2,8,2,20,10,18547.03164744377,2.083442016408632,0.2083442016408631
systematic,4,2,2,8,1,50,10,14690.079694509506,2.629071511384764,0.2629071511384763
cancer,2,4,8,2,2,20,10,4921.773898601532,13.676287769806182,1.367628776980618
cancer,1,4,4,8,1,10,10,4551.568235874176,16.520168421335427,1.6520168421335426
cancer,2,4,2,4,1,10,10,3283.24369430542,13.300702359362932,1.3300702359362933
detailed,3,8,4,2,2,50,10,70372.71203923225,3.1172881819828517,0.3117288181982851
cancer,2,4,4,2,2,50,10,6338.344521284103,12.991589670490434,1.299158967049043
systematic,1,2,8,4,1,10,10,14772.845403671265,2.0314289437729838,0.2031428943772983
cancer,1,2,4,2,2,10,10,2879.1764466762543,15.59265117297695,1.559265117297695
detailed,6,8,2,2,2,20,10,48653.70206999779,2.7133067428549147,0.2713306742854914
cancer,1,4,8,4,2,20,10,5525.489978551865,18.09013270506816,1.809013270506816
systematic,5,4,2,8,1,20,10,21182.66316390037,2.5860275635696803,0.258602756356968
