sequenceID,min.log.lambda,max.log.lambda,labels,errors
100_chr1,#NAME?,-3.444163423,1,1
100_chr1,-3.444163423,-3.272006215,1,1
100_chr1,-3.272006215,-3.254606475,1,1
100_chr1,-3.254606475,-3.247189906,1,1
100_chr1,-3.247189906,-3.196640081,1,1
100_chr1,-3.196640081,-2.841377365,1,1
100_chr1,-2.841377365,-2.813309425,1,1
100_chr1,-2.813309425,-2.812493785,1,1
100_chr1,-2.812493785,-2.498291887,1,1
100_chr1,-2.498291887,-1.688020727,1,1
100_chr1,-1.688020727,-1.251999969,1,1
100_chr1,-1.251999969,-1.151406862,1,1
100_chr1,-1.151406862,Inf,1,0
100_chr11,#NAME?,-3.584582641,1,1
100_chr11,-3.584582641,-3.513912083,1,1
100_chr11,-3.513912083,-3.455087619,1,1
100_chr11,-3.455087619,-3.362380751,1,1
100_chr11,-3.362380751,-3.350574547,1,1
100_chr11,-3.350574547,-3.127145688,1,1
100_chr11,-3.127145688,-2.939291264,1,1
100_chr11,-2.939291264,-2.878789939,1,1
100_chr11,-2.878789939,-2.780477259,1,1
100_chr11,-2.780477259,-2.215452372,1,1
100_chr11,-2.215452372,-1.822545646,1,1
100_chr11,-1.822545646,Inf,1,0
100_chr17,#NAME?,-4.298540329,1,1
100_chr17,-4.298540329,-4.097969795,1,1
100_chr17,-4.097969795,-4.07837762,1,1
100_chr17,-4.07837762,-3.939481264,1,1
100_chr17,-3.939481264,-3.916937575,1,1
100_chr17,-3.916937575,-3.89847767,1,1
100_chr17,-3.89847767,-3.875226404,1,1
100_chr17,-3.875226404,-3.845573776,1,1
100_chr17,-3.845573776,-3.466316587,1,1
100_chr17,-3.466316587,-3.408032112,1,1
100_chr17,-3.408032112,-2.591051789,1,0
100_chr17,-2.591051789,Inf,1,0
100_chr2,#NAME?,-3.327797483,1,1
100_chr2,-3.327797483,-3.148371772,1,1
100_chr2,-3.148371772,-2.95124669,1,1
100_chr2,-2.95124669,-2.929816069,1,1
100_chr2,-2.929816069,-2.635513955,1,1
100_chr2,-2.635513955,-2.591892075,1,1
100_chr2,-2.591892075,-2.535504853,1,1
100_chr2,-2.535504853,-2.331909865,1,1
100_chr2,-2.331909865,-2.18290417,1,1
100_chr2,-2.18290417,-1.926059697,1,1
100_chr2,-1.926059697,-1.591491646,1,1
100_chr2,-1.591491646,Inf,1,0
100_chr3,#NAME?,-3.294603348,1,1
100_chr3,-3.294603348,-3.258894424,1,1
100_chr3,-3.258894424,-3.21542424,1,1
100_chr3,-3.21542424,-3.213215066,1,1
100_chr3,-3.213215066,-3.200239616,1,1
100_chr3,-3.200239616,-3.081475218,1,1
100_chr3,-3.081475218,-2.97795752,1,1
100_chr3,-2.97795752,-2.932431195,1,1
100_chr3,-2.932431195,-2.87935627,1,1
100_chr3,-2.87935627,-2.722035996,1,1
100_chr3,-2.722035996,-2.714579843,1,1
100_chr3,-2.714579843,-2.202733133,1,1
100_chr3,-2.202733133,Inf,1,0
100_chr4,#NAME?,-3.549788653,1,1
100_chr4,-3.549788653,-3.529765357,1,1
100_chr4,-3.529765357,-3.257990034,1,1
100_chr4,-3.257990034,-3.174132669,1,1
100_chr4,-3.174132669,-3.086890553,1,1
100_chr4,-3.086890553,-3.024744064,1,1
100_chr4,-3.024744064,-2.978753428,1,1
100_chr4,-2.978753428,-2.733281342,1,1
100_chr4,-2.733281342,-2.556762804,1,0
100_chr4,-2.556762804,-2.472299191,1,0
100_chr4,-2.472299191,Inf,1,0
101_chr1,#NAME?,-4.081783755,1,1
101_chr1,-4.081783755,-3.830982638,1,1
101_chr1,-3.830982638,-3.744578149,1,1
101_chr1,-3.744578149,-3.68284855,1,1
101_chr1,-3.68284855,-3.520824192,1,1
101_chr1,-3.520824192,-3.212520788,1,1
101_chr1,-3.212520788,-3.131673618,1,1
101_chr1,-3.131673618,-3.039005979,1,1
101_chr1,-3.039005979,-2.864360922,1,1
101_chr1,-2.864360922,-2.170044414,1,1
101_chr1,-2.170044414,-0.782329303,1,1
101_chr1,-0.782329303,Inf,1,0
101_chr11,#NAME?,-2.998651091,1,1
101_chr11,-2.998651091,-2.853792164,1,1
101_chr11,-2.853792164,-2.611094435,1,1
101_chr11,-2.611094435,-2.59074923,1,1
101_chr11,-2.59074923,-2.588945858,1,1
101_chr11,-2.588945858,-2.259240459,1,1
101_chr11,-2.259240459,-2.112979375,1,1
101_chr11,-2.112979375,-2.104611576,1,1
101_chr11,-2.104611576,-1.503679023,1,0
101_chr11,-1.503679023,Inf,1,0
101_chr17,#NAME?,-4.003255932,1,1
101_chr17,-4.003255932,-3.956901016,1,1
101_chr17,-3.956901016,-3.902785941,1,1
101_chr17,-3.902785941,-3.678494974,1,1
101_chr17,-3.678494974,-3.583823668,1,1
101_chr17,-3.583823668,-3.505062812,1,1
101_chr17,-3.505062812,-3.087751154,1,1
101_chr17,-3.087751154,-2.84326329,1,1
101_chr17,-2.84326329,-2.807775064,1,1
101_chr17,-2.807775064,-2.687234841,1,1
101_chr17,-2.687234841,-2.628983191,1,0
101_chr17,-2.628983191,Inf,1,0
101_chr2,#NAME?,-3.046293345,1,0
101_chr2,-3.046293345,-2.767015002,1,0
101_chr2,-2.767015002,-2.480530187,1,0
101_chr2,-2.480530187,-2.202207328,1,0
101_chr2,-2.202207328,-2.121088985,1,0
101_chr2,-2.121088985,-2.020193257,1,0
101_chr2,-2.020193257,-1.885148533,1,0
101_chr2,-1.885148533,-1.465351582,1,0
101_chr2,-1.465351582,0.533452086,1,0
101_chr2,0.533452086,0.635127206,1,0
101_chr2,0.635127206,1.134938922,1,0
101_chr2,1.134938922,2.807504809,1,0
101_chr2,2.807504809,Inf,1,1
101_chr3,#NAME?,-3.306759438,1,1
101_chr3,-3.306759438,-3.200264379,1,1
101_chr3,-3.200264379,-3.161360262,1,1
101_chr3,-3.161360262,-3.024276027,1,1
101_chr3,-3.024276027,-2.753790939,1,1
101_chr3,-2.753790939,-2.436396502,1,1
101_chr3,-2.436396502,-2.328473203,1,1
101_chr3,-2.328473203,-2.264995831,1,1
101_chr3,-2.264995831,-2.053015606,1,1
101_chr3,-2.053015606,-1.647631438,1,1
101_chr3,-1.647631438,-0.895748525,1,1
101_chr3,-0.895748525,Inf,1,0
101_chr4,#NAME?,-4.286405809,1,1
101_chr4,-4.286405809,-4.232965814,1,1
101_chr4,-4.232965814,-4.215993185,1,1
101_chr4,-4.215993185,-4.09700283,1,1
101_chr4,-4.09700283,-3.938255517,1,1
101_chr4,-3.938255517,-3.59334567,1,1
101_chr4,-3.59334567,-3.477512022,1,1
101_chr4,-3.477512022,-3.074872287,1,1
101_chr4,-3.074872287,-2.981635087,1,1
101_chr4,-2.981635087,-2.328503768,1,1
101_chr4,-2.328503768,Inf,1,0
102_chr1,#NAME?,-3.249773114,1,0
102_chr1,-3.249773114,-3.028722945,1,0
102_chr1,-3.028722945,-3.025264512,1,0
102_chr1,-3.025264512,-2.594384643,1,0
102_chr1,-2.594384643,-2.556875728,1,0
102_chr1,-2.556875728,-2.495961054,1,0
102_chr1,-2.495961054,-2.38460357,1,0
102_chr1,-2.38460357,-2.103398617,1,0
102_chr1,-2.103398617,-2.041517884,1,0
102_chr1,-2.041517884,-1.854187001,1,0
102_chr1,-1.854187001,-1.74488507,1,0
102_chr1,-1.74488507,3.995251872,1,0
102_chr1,3.995251872,Inf,1,1
102_chr11,#NAME?,-4.639094734,1,1
102_chr11,-4.639094734,-4.598600971,1,1
102_chr11,-4.598600971,-4.59651117,1,1
102_chr11,-4.59651117,-4.593174984,1,1
102_chr11,-4.593174984,-4.573919553,1,1
102_chr11,-4.573919553,-4.344371369,1,1
102_chr11,-4.344371369,-4.291473697,1,1
102_chr11,-4.291473697,-4.137210536,1,1
102_chr11,-4.137210536,-3.787131763,1,1
102_chr11,-3.787131763,-3.514593266,1,1
102_chr11,-3.514593266,Inf,1,0
102_chr17,#NAME?,-4.576248798,1,0
102_chr17,-4.576248798,-4.38447234,1,0
102_chr17,-4.38447234,-4.246053955,1,0
102_chr17,-4.246053955,-4.140265167,1,0
102_chr17,-4.140265167,-3.980620357,1,0
102_chr17,-3.980620357,-3.878356592,1,0
102_chr17,-3.878356592,-3.202703168,1,0
102_chr17,-3.202703168,-3.188203253,1,0
102_chr17,-3.188203253,-2.494084436,1,0
102_chr17,-2.494084436,-1.927616978,1,0
102_chr17,-1.927616978,1.277816799,1,0
102_chr17,1.277816799,Inf,1,1
102_chr2,#NAME?,-3.588244947,1,0
102_chr2,-3.588244947,-3.518943325,1,0
102_chr2,-3.518943325,-3.512971745,1,0
102_chr2,-3.512971745,-3.509292245,1,0
102_chr2,-3.509292245,-3.26637583,1,0
102_chr2,-3.26637583,-2.890290444,1,0
102_chr2,-2.890290444,-2.766279911,1,0
102_chr2,-2.766279911,-2.466091749,1,0
102_chr2,-2.466091749,-2.208429575,1,0
102_chr2,-2.208429575,-1.699099614,1,0
102_chr2,-1.699099614,1.650955913,1,0
102_chr2,1.650955913,2.613329814,1,0
102_chr2,2.613329814,Inf,1,1
102_chr3,#NAME?,-4.704787745,1,1
102_chr3,-4.704787745,-4.600144877,1,1
102_chr3,-4.600144877,-4.597743269,1,1
102_chr3,-4.597743269,-4.580522093,1,1
102_chr3,-4.580522093,-4.541441763,1,1
102_chr3,-4.541441763,-4.435548179,1,1
102_chr3,-4.435548179,-4.319420443,1,1
102_chr3,-4.319420443,-4.077741308,1,1
102_chr3,-4.077741308,-3.998147492,1,1
102_chr3,-3.998147492,-3.879325097,1,1
102_chr3,-3.879325097,-3.524118172,1,1
102_chr3,-3.524118172,-3.399148251,1,1
102_chr3,-3.399148251,-3.035394375,1,1
102_chr3,-3.035394375,-1.769221001,1,1
102_chr3,-1.769221001,Inf,1,0
102_chr4,#NAME?,-4.48321615,1,1
102_chr4,-4.48321615,-4.365965726,1,1
102_chr4,-4.365965726,-4.290116589,1,1
102_chr4,-4.290116589,-4.19850136,1,1
102_chr4,-4.19850136,-4.063302632,1,1
